0,1,2,3,4,5,6,7,8,9
0,0,0,25753,32267,1,0,0,0,0
0,0,0,25753,32267,1,0,0,0,0
0,0,0,15,8,28503,2,0,0,0
0,0,0,15664,563,559,3,0,0,0
0,0,0,23,403,559,4,0,0,0
0,0,0,32482,355,28006,5,0,0,0
0,0,0,32482,355,28006,5,0,0,0
0,0,0,2,32454,27841,7,0,0,0
0,0,0,7,506,31982,8,0,0,0
0,0,0,231,508,559,9,0,0,0
0,0,0,231,509,559,10,0,0,0
0,0,0,233,505,559,11,0,0,0
0,0,0,236,499,559,12,0,0,0
0,0,0,221,493,559,13,0,0,0
0,0,0,221,493,559,13,0,0,0
0,0,0,221,493,559,13,0,0,0
0,0,0,236,497,559,16,0,0,0
0,0,0,219,491,559,17,0,0,0
0,0,0,219,493,559,17,0,0,0
0,0,0,9317,563,559,19,0,0,0
0,0,0,15446,30678,559,20,0,0,0
0,0,0,20,323,28006,21,0,0,0
0,0,0,2337,563,559,22,0,0,0
0,0,0,2337,563,559,22,0,0,0
0,0,0,2388,563,559,22,0,0,0
0,0,0,2388,563,559,22,0,0,0
0,0,0,18145,563,559,22,0,0,0
0,0,0,8969,563,26438,22,0,0,0
0,0,0,8974,563,26438,22,0,0,0
0,0,0,9035,563,26441,22,0,0,0
0,0,0,9035,563,26441,22,0,0,0
0,0,0,9102,563,26445,22,0,0,0
0,0,0,17,563,559,22,0,0,0
0,0,0,278,27917,559,22,0,0,0
0,0,0,3530,31748,31009,22,0,0,0
0,0,0,3530,31748,31009,22,0,0,0
0,0,0,23,563,31237,22,0,0,0
0,0,0,29,563,559,22,0,0,0
0,0,0,30,563,559,22,0,0,0
0,0,0,31,563,559,22,0,0,0
0,0,0,38,563,559,22,0,0,0
0,0,0,33,563,559,22,0,0,0
0,0,0,200,26361,32016,22,0,0,0
0,0,0,72,563,559,22,0,0,0
0,0,0,72,563,559,22,0,0,0
0,0,0,76,563,559,22,0,0,0
0,0,0,76,563,559,22,0,0,0
0,0,0,76,563,559,22,0,0,0
0,0,0,76,563,559,22,0,0,0
0,0,0,76,563,559,22,0,0,0
0,0,0,75,563,559,22,0,0,0
0,0,0,32,563,559,22,0,0,0
0,0,0,61,563,494,22,0,0,0
0,0,0,36,563,559,22,0,0,0
0,0,0,36,563,559,22,0,0,0
0,0,0,39,563,559,22,0,0,0
0,0,0,34,563,559,22,0,0,0
0,0,0,34,563,559,22,0,0,0
0,0,0,40,563,559,22,0,0,0
0,0,0,3883,27509,559,22,0,0,0
0,0,0,259,26390,559,22,0,0,0
0,0,0,260,26391,559,22,0,0,0
0,0,0,1674,563,559,22,0,0,0
0,0,0,1689,563,559,22,0,0,0
0,0,0,1689,563,559,22,0,0,0
0,0,0,1682,563,559,22,0,0,0
0,0,0,1682,563,559,22,0,0,0
0,0,0,1627,563,559,22,0,0,0
0,0,0,1724,563,559,22,0,0,0
0,0,0,1689,563,559,22,0,0,0
0,0,0,1631,563,559,22,0,0,0
0,0,0,1637,563,559,22,0,0,0
0,0,0,1676,563,559,22,0,0,0
0,0,0,1671,563,559,22,0,0,0
0,0,0,1719,563,559,22,0,0,0
0,0,0,1699,563,559,22,0,0,0
0,0,0,1745,563,559,22,0,0,0
0,0,0,1736,563,559,22,0,0,0
0,0,0,1736,563,559,22,0,0,0
0,0,0,1716,563,559,22,0,0,0
0,0,0,1745,563,559,22,0,0,0
0,0,0,41,563,559,22,0,0,0
0,0,0,375,563,559,22,0,0,0
0,0,0,286,26396,559,22,0,0,0
0,0,0,387,26445,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,377,26439,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,297,26399,559,22,0,0,0
0,0,0,318,26421,559,22,0,0,0
0,0,0,319,26421,559,22,0,0,0
0,0,0,320,26423,559,22,0,0,0
0,0,0,7080,28516,559,22,0,0,0
0,0,0,7391,28611,559,22,0,0,0
0,0,0,362,26432,559,22,0,0,0
0,0,0,416,26462,25810,22,0,0,0
0,0,0,2147,26980,559,22,0,0,0
0,0,0,9214,29127,559,22,0,0,0
0,0,0,59,563,559,22,0,0,0
0,0,0,2313,563,559,22,0,0,0
0,0,0,2299,563,559,22,0,0,0
0,0,0,2299,563,559,22,0,0,0
0,0,0,2309,563,559,22,0,0,0
0,0,0,2282,563,559,22,0,0,0
0,0,0,2303,563,559,22,0,0,0
0,0,0,2291,563,559,22,0,0,0
0,0,0,2276,563,559,22,0,0,0
0,0,0,2298,563,559,22,0,0,0
0,0,0,14242,563,559,22,0,0,0
0,0,0,2306,563,559,22,0,0,0
0,0,0,60,563,559,22,0,0,0
0,0,0,5287,27950,559,22,0,0,0
0,0,0,715,563,559,22,0,0,0
0,0,0,684,563,559,22,0,0,0
0,0,0,684,563,559,22,0,0,0
0,0,0,684,563,559,22,0,0,0
0,0,0,687,563,559,22,0,0,0
0,0,0,696,563,559,22,0,0,0
0,0,0,696,563,559,22,0,0,0
0,0,0,696,563,559,22,0,0,0
0,0,0,696,563,559,22,0,0,0
0,0,0,696,563,559,22,0,0,0
0,0,0,701,563,559,22,0,0,0
0,0,0,675,563,559,22,0,0,0
0,0,0,681,563,559,22,0,0,0
